,,Den nebo Noc,0/4/0,,,,DPST-1-2,Auto
,,Den nebo Noc,1/4/0,,,,DPST-1-2,Auto
,,Chodba_prizemi PIR jas,0/1/22,,,,DPST-9-4,Auto
,,Chodba_prizemi PIR pohyb,0/2/4,,,,DPST-1-1,Auto
,,Chodba_prizemi PIR telpota,0/1/14,,,,DPST-9-1,Auto
,,Chodba_prizemi tlacitko 1,0/3/20,,,,DPST-1-1,Auto
,,Chodba_prizemi tlacitko 1_dlouhy,0/3/25,,,,DPST-1-1,Auto
,,Chodba_prizemi tlacitko 1_LED,0/3/29,,,,DPST-5-5,Auto
,,Chodba_prizemi tlacitko 2,0/3/22,,,,DPST-1-1,Auto
,,Chodba_prizemi tlacitko 2_dlouhy,0/3/26,,,,DPST-1-1,Auto
,,Chodba_prizemi tlacitko 2_LED,0/3/30,,,,DPST-5-5,Auto
,,Chodba_prizemi tlacitko 3,0/3/23,,,,DPST-1-1,Auto
,,Chodba_prizemi tlacitko 3_dlouhy,0/3/27,,,,DPST-1-1,Auto
,,Chodba_prizemi tlacitko 3_LED,0/3/31,,,,DPST-5-5,Auto
,,Chodba_prizemi tlacitko 4,0/3/24,,,,DPST-1-1,Auto
,,Chodba_prizemi tlacitko 4_dlouhy,0/3/28,,,,DPST-1-1,Auto
,,Chodba_prizemi tlacitko 4_LED,0/3/32,,,,DPST-5-5,Auto
,,Chodba_prizemi tlacitko blokace,0/3/33,,,,DPST-1-1,Auto
,,Chodba_prizemi tlacitko teplota ,0/1/3,,,,DPST-9-1,Auto
,,Jizni_pokoj PIR jas,1/1/5,,,,DPST-9-4,Auto
,,Jizni_pokoj PIR pohyb,1/2/5,,,,DPST-1-1,Auto
,,Jizni_pokoj PIR teplota,1/1/4,,,,DPST-9-1,Auto
,,Jizni_pokoj tlacitko 1,1/3/8,,,,DPST-1-1,Auto
,,Jizni_pokoj tlacitko 1_dlouhy,1/3/12,,,,DPST-1-1,Auto
,,Jizni_pokoj tlacitko 1_LED,1/3/16,,,,DPST-5-5,Auto
,,Jizni_pokoj tlacitko 2,1/3/9,,,,DPST-1-1,Auto
,,Jizni_pokoj tlacitko 2_dlouhy,1/3/13,,,,DPST-1-1,Auto
,,Jizni_pokoj tlacitko 2_LED,1/3/17,,,,DPST-5-5,Auto
,,Jizni_pokoj tlacitko 3,1/3/10,,,,DPST-1-1,Auto
,,Jizni_pokoj tlacitko 3_dlouhy,1/3/14,,,,DPST-1-1,Auto
,,Jizni_pokoj tlacitko 3_LED,1/3/18,,,,DPST-5-5,Auto
,,Jizni_pokoj tlacitko 4,1/3/11,,,,DPST-1-1,Auto
,,Jizni_pokoj tlacitko 4_dlouhy,1/3/15,,,,DPST-1-1,Auto
,,Jizni_pokoj tlacitko 4_LED,1/3/19,,,,DPST-5-5,Auto
,,Jizni_pokoj tlacitko blokace,1/3/21,,,,DPST-1-1,Auto
,,Jizni_pokoj tlacitko teplota,1/1/10,,,,DPST-9-1,Auto
,,Koupelna_patro PIR jas,1/1/18,,,,DPST-9-4,Auto
,,Koupelna_patro PIR pohyb,1/2/7,,,,DPST-1-1,Auto
,,Koupelna_patro PIR telpota,1/1/12,,,,DPST-9-1,Auto
,,Koupelna_patro teplomer teplota,1/1/11,,,,DPST-9-1,Auto
,,Koupelna_patro teplomer teplota,1/1/9,,,,DPST-9-1,Auto
,,Koupelna_patro tlacitko 1,1/3/20,,,,DPST-1-1,Auto
,,Koupelna_patro tlacitko 1_dlouhy,1/3/25,,,,DPST-1-1,Auto
,,Koupelna_patro tlacitko 1_LED,1/3/29,,,,DPST-5-5,Auto
,,Koupelna_patro tlacitko 2,1/3/22,,,,DPST-1-1,Auto
,,Koupelna_patro tlacitko 2_dlouhy,1/3/26,,,,DPST-1-1,Auto
,,Koupelna_patro tlacitko 2_LED,1/3/30,,,,DPST-5-5,Auto
